date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:43	269150/269150	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Andaman%20and%20Nicobar%20Islands.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Andaman%20and%20Nicobar%20Islands.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Andaman%20and%20Nicobar%20Islands)
17:26:45	272428/272428	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Andaman%20and%20Nicobar%20Islands2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Andaman%20and%20Nicobar%20Islands2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Andaman%20and%20Nicobar%20Islands)
17:26:45	108486/108486	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Ravangla.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Ravangla.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Ravangla)
17:26:46	9066485/9066485	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Amritsar2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Amritsar2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Amritsar)
17:26:48	7389531/7389531	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Amritsar.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Amritsar.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Amritsar)
17:26:53	253651/253651	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Pelling.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Pelling.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Pelling)
17:26:53	712152/712152	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Namchi2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Namchi2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Namchi)
17:26:53	3283256/3283256	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Ravangla2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Ravangla2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Ravangla)
17:26:57	285569/285569	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Lachen.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Lachen.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Lachen)
17:26:57	598115/598115	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20May%202022%2013:30:10%20GMT	https://tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Pelling2.jpg	C:/My%20Web%20Sites/Tourism%20Site/tripindia.herokuapp.com/touristdestination/static/assets/img/Cities/Pelling2.jpg	(from https://tripindia.herokuapp.com/touristdestination/explore/Pelling)
